person,noise_type,intensity,ok,similarity,extract_failed
Amelia_Vega,brightness,1.00000000,1,1.00000000,0
Amelia_Vega,brightness,0.90000000,1,0.99837244,0
Amelia_Vega,brightness,0.80000000,1,0.99540782,0
Amelia_Vega,brightness,0.65000000,1,0.98973751,0
Amelia_Vega,brightness,0.50000000,1,0.98081958,0
Amelia_Vega,brightness,0.35000000,1,0.96328509,0
Amelia_Vega,rotation,0.00000000,1,1.00000000,0
Amelia_Vega,rotation,3.00000000,1,0.99756962,0
Amelia_Vega,rotation,6.00000000,1,0.99515641,0
Amelia_Vega,rotation,10.00000000,1,0.99221039,0
Amelia_Vega,rotation,15.00000000,1,0.98875415,0
Amelia_Vega,rotation,20.00000000,1,0.98810935,0
Amelia_Vega,blur,0.00000000,1,0.99636042,0
Amelia_Vega,blur,1.00000000,1,0.99577153,0
Amelia_Vega,blur,2.00000000,1,0.97147191,0
Amelia_Vega,blur,3.00000000,1,0.91218215,0
Amelia_Vega,blur,4.00000000,1,0.81571788,0
Amelia_Vega,blur,5.00000000,0,0.70797503,0
Amelia_Vega,occlusion,0.00000000,1,0.99903244,0
Amelia_Vega,occlusion,0.10000000,0,0.29235089,0
Amelia_Vega,occlusion,0.15000000,0,nan,1
Amelia_Vega,occlusion,0.20000000,0,nan,1
Amelia_Vega,occlusion,0.25000000,0,nan,1
Amelia_Vega,occlusion,0.30000000,0,nan,1
Amelie_Mauresmo,gaussian,0.00000000,1,0.99999988,0
Amelie_Mauresmo,gaussian,0.02000000,1,0.98034775,0
Amelie_Mauresmo,gaussian,0.05000000,1,0.92218506,0
Amelie_Mauresmo,gaussian,0.10000000,1,0.85792255,0
Amelie_Mauresmo,gaussian,0.20000000,0,nan,1
Amelie_Mauresmo,gaussian,0.30000000,0,nan,1
Amelie_Mauresmo,brightness,1.00000000,1,0.99999988,0
Amelie_Mauresmo,brightness,0.90000000,1,0.99868685,0
Amelie_Mauresmo,brightness,0.80000000,1,0.99696892,0
Amelie_Mauresmo,brightness,0.65000000,1,0.99460393,0
Amelie_Mauresmo,brightness,0.50000000,1,0.98766321,0
Amelie_Mauresmo,brightness,0.35000000,1,0.97557950,0
Amelie_Mauresmo,rotation,0.00000000,1,0.99999988,0
Amelie_Mauresmo,rotation,3.00000000,1,0.99674726,0
Amelie_Mauresmo,rotation,6.00000000,1,0.99529707,0
Amelie_Mauresmo,rotation,10.00000000,1,0.99277747,0
Amelie_Mauresmo,rotation,15.00000000,1,0.98851919,0
Amelie_Mauresmo,rotation,20.00000000,1,0.98430192,0
Amelie_Mauresmo,blur,0.00000000,1,0.99135524,0
Amelie_Mauresmo,blur,1.00000000,1,0.99007434,0
Amelie_Mauresmo,blur,2.00000000,1,0.94713318,0
Amelie_Mauresmo,blur,3.00000000,1,0.85904372,0
Amelie_Mauresmo,blur,4.00000000,1,0.75646633,0
Amelie_Mauresmo,blur,5.00000000,1,0.68058169,0
Amelie_Mauresmo,occlusion,0.00000000,1,0.99836522,0
Amelie_Mauresmo,occlusion,0.10000000,0,0.09119317,0
Amelie_Mauresmo,occlusion,0.15000000,0,nan,1
Amelie_Mauresmo,occlusion,0.20000000,0,nan,1
Amelie_Mauresmo,occlusion,0.25000000,0,nan,1
Amelie_Mauresmo,occlusion,0.30000000,0,nan,1
Ana_Guevara,gaussian,0.00000000,1,1.00000000,0
Ana_Guevara,gaussian,0.02000000,1,0.98345709,0
Ana_Guevara,gaussian,0.05000000,1,0.93385863,0
Ana_Guevara,gaussian,0.10000000,1,0.82907337,0
Ana_Guevara,gaussian,0.20000000,0,nan,1
